🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 4
Gradient accumulation steps: 64
Total effective batch size: 256
Device: cuda:0
Loading training dataset from wikipedia-50/train
Final Vocab Size: 181
Phoneme vocab size: 181
Pruned BPE vocab size: 24734
Training dataset size: 599058
Step 8500/1000000 | Loss: 6.4639 | LR: 1.32e-09 | MLM: 2.8695 | CTC: 3.5944
Step 8600/1000000 | Loss: 6.5898 | LR: 1.34e-09 | MLM: 2.8797 | CTC: 3.7102
Step 8700/1000000 | Loss: 6.4835 | LR: 1.35e-09 | MLM: 2.8714 | CTC: 3.6121
Step 8800/1000000 | Loss: 7.2478 | LR: 1.37e-09 | MLM: 3.2076 | CTC: 4.0402
Step 8900/1000000 | Loss: 6.6878 | LR: 1.39e-09 | MLM: 2.8638 | CTC: 3.8240
Step 9000/1000000 | Loss: 6.8129 | LR: 1.40e-09 | MLM: 3.2768 | CTC: 3.5361
Step 9100/1000000 | Loss: 6.3653 | LR: 1.42e-09 | MLM: 2.7689 | CTC: 3.5965
Step 9200/1000000 | Loss: 6.0121 | LR: 1.43e-09 | MLM: 2.8428 | CTC: 3.1693
Step 9300/1000000 | Loss: 6.5750 | LR: 1.45e-09 | MLM: 2.8744 | CTC: 3.7006
Step 9400/1000000 | Loss: 6.4965 | LR: 1.46e-09 | MLM: 3.1126 | CTC: 3.3839
Step 9500/1000000 | Loss: 6.4508 | LR: 1.48e-09 | MLM: 2.9028 | CTC: 3.5479
Step 9600/1000000 | Loss: 6.6743 | LR: 1.50e-09 | MLM: 2.8456 | CTC: 3.8287
Step 9700/1000000 | Loss: 6.5778 | LR: 1.51e-09 | MLM: 2.7626 | CTC: 3.8152
Step 9800/1000000 | Loss: 6.2041 | LR: 1.53e-09 | MLM: 2.8971 | CTC: 3.3069
Step 9900/1000000 | Loss: 6.4975 | LR: 1.54e-09 | MLM: 3.0797 | CTC: 3.4177
Step 10000/1000000 | Loss: 6.0887 | LR: 1.56e-09 | MLM: 3.0224 | CTC: 3.0663
✓ Saved checkpoint to checkpoint_step_10000.t7
Step 10100/1000000 | Loss: 6.3609 | LR: 1.57e-09 | MLM: 3.2179 | CTC: 3.1429
Step 10200/1000000 | Loss: 6.4026 | LR: 1.59e-09 | MLM: 2.9546 | CTC: 3.4480
Step 10300/1000000 | Loss: 6.6736 | LR: 1.60e-09 | MLM: 2.8158 | CTC: 3.8578
Step 10400/1000000 | Loss: 6.6832 | LR: 1.62e-09 | MLM: 2.7468 | CTC: 3.9364
Step 10500/1000000 | Loss: 6.6243 | LR: 1.64e-09 | MLM: 3.3099 | CTC: 3.3145
Step 10600/1000000 | Loss: 6.6276 | LR: 1.65e-09 | MLM: 2.9837 | CTC: 3.6438
Step 10700/1000000 | Loss: 5.8249 | LR: 1.67e-09 | MLM: 2.8461 | CTC: 2.9788
Step 10800/1000000 | Loss: 6.4608 | LR: 1.68e-09 | MLM: 2.9616 | CTC: 3.4991
Step 10900/1000000 | Loss: 6.4857 | LR: 1.70e-09 | MLM: 3.0821 | CTC: 3.4036
Step 11000/1000000 | Loss: 6.5902 | LR: 1.71e-09 | MLM: 3.0511 | CTC: 3.5391
